trap_ID_decimal,batch_date,trap_status,total_sample_minutes,total_catch,catch_imputed,discharge,discharge_scaled,efficiency_imputed,efficiency,unimputed_efficiency,passage,p.c.imputed,p.e.imputed,jday,week,month,year
Lower Feather River RST RL,1/20/2022,fishing,1335.533333,3,FALSE,1702,-1.238242357,0.002898971,0.002898971,NA,1035,0,0.002898971,20,3,1,2022
Lower Feather River RST RL,1/21/2022,fishing,1439.6,6,FALSE,1654,-1.278936577,0.002898971,0.002898971,NA,2070,0,0.002898971,21,3,1,2022
Lower Feather River RST RL,1/22/2022,fishing,1409.866667,7,FALSE,1653,-1.279784373,0.002898971,0.002898971,NA,2415,0,0.002898971,22,3,1,2022
Lower Feather River RST RL,1/23/2022,fishing,1619.933333,3,FALSE,1648,-1.284023355,0.002898971,0.002898971,NA,1035,0,0.002898971,23,3,1,2022
Lower Feather River RST RL,1/24/2022,fishing,1275.866667,9,FALSE,1640,-1.290805725,0.002898971,0.002898971,NA,3105,0,0.002898971,24,4,1,2022
Lower Feather River RST RL,1/25/2022,fishing,1394.316667,2,FALSE,1654,-1.278936577,0.002898971,0.002898971,NA,690,0,0.002898971,25,4,1,2022
Lower Feather River RST RL,1/26/2022,fishing,1455.65,3,FALSE,1644,-1.28741454,0.002898971,0.002898971,NA,1035,0,0.002898971,26,4,1,2022
Lower Feather River RST RL,1/27/2022,fishing,1439.466667,6,FALSE,1654,-1.278936577,0.002898971,0.002898971,NA,2070,0,0.002898971,27,4,1,2022
Lower Feather River RST RL,1/28/2022,fishing,1454.816667,3,FALSE,1663,-1.271306411,0.002898971,0.002898971,NA,1035,0,0.002898971,28,4,1,2022
Lower Feather River RST RL,1/29/2022,fishing,1455.2,9,FALSE,1820,-1.138202399,0.002898971,0.002898971,NA,3105,0,0.002898971,29,4,1,2022
Lower Feather River RST RL,1/30/2022,fishing,1440.35,13,FALSE,2867,-0.250559718,0.002898971,0.002898971,NA,4484,0,0.002898971,30,4,1,2022
Lower Feather River RST RL,1/31/2022,fishing,1425.166667,13,FALSE,3199,0.03090864,0.002898971,0.002898971,NA,4484,0,0.002898971,31,5,1,2022
Lower Feather River RST RL,2/1/2022,fishing,1484.633333,13,FALSE,3260,0.082624211,0.002898971,0.002898971,NA,4484,0,0.002898971,32,5,2,2022
Lower Feather River RST RL,2/2/2022,fishing,1380.133333,27,FALSE,3309,0.124166228,0.002898971,0.007680492,0.007680492,3515,0,0.002898971,33,5,2,2022
Lower Feather River RST RL,2/3/2022,fishing,1514.65,26,FALSE,3333,0.144513338,0.002898971,0.002898971,NA,8969,0,0.002898971,34,5,2,2022
Lower Feather River RST RL,2/4/2022,fishing,1395.35,27,FALSE,3333,0.144513338,0.002898971,0.002898971,NA,9314,0,0.002898971,35,5,2,2022
Lower Feather River RST RL,2/5/2022,fishing,1439.616667,9,FALSE,3494,0.281008536,0.002898971,0.002898971,NA,3105,0,0.002898971,36,5,2,2022
Lower Feather River RST RL,2/6/2022,Not fishing,1440,12.32244797,TRUE,NA,NA,0.002898971,0.002898971,NA,4251,1,0.002898971,37,5,2,2022
Lower Feather River RST RL,2/7/2022,Not fishing,1440,12.44584274,TRUE,NA,NA,0.002898971,0.002898971,NA,4293,1,0.002898971,38,6,2,2022
Lower Feather River RST RL,2/8/2022,Not fishing,1470.433333,12.83099522,TRUE,3532,0.313224793,0.002898971,0.002898971,NA,4426,1,0.002898971,39,6,2,2022
Lower Feather River RST RL,2/9/2022,fishing,1440.216667,1,FALSE,3632,0.398004419,0.002898971,0.002898971,NA,345,0,0.002898971,40,6,2,2022
Lower Feather River RST RL,2/10/2022,fishing,1379.016667,2,FALSE,3747,0.495500989,0.002898971,0.002898971,NA,690,0,0.002898971,41,6,2,2022
Lower Feather River RST RL,2/11/2022,fishing,1470.95,2,FALSE,3914,0.637082964,0.002898971,0.002898971,NA,690,0,0.002898971,42,6,2,2022
Lower Feather River RST RL,2/12/2022,fishing,1409.3,19,FALSE,3927,0.648104315,0.002898971,0.002898971,NA,6554,0,0.002898971,43,6,2,2022
Lower Feather River RST RL,2/13/2022,fishing,1469.833333,28,FALSE,3927,0.648104315,0.002898971,0.002898971,NA,9659,0,0.002898971,44,6,2,2022
Lower Feather River RST RL,2/14/2022,fishing,1410.066667,1,FALSE,3901,0.626061612,0.002898971,0.002898971,NA,345,0,0.002898971,45,7,2,2022
Lower Feather River RST RL,2/15/2022,fishing,1470.566667,14,FALSE,3862,0.592997558,0.002898971,0.002898971,NA,4829,0,0.002898971,46,7,2,2022
Lower Feather River RST RL,2/16/2022,fishing,1454.533333,3,FALSE,3875,0.60401891,0.002898971,0.002898971,NA,1035,0,0.002898971,47,7,2,2022
Lower Feather River RST RL,2/17/2022,fishing,1395.633333,39,FALSE,3875,0.60401891,0.002898971,0.002898971,NA,13453,0,0.002898971,48,7,2,2022
Lower Feather River RST RL,2/18/2022,fishing,1469.3,35,FALSE,3850,0.582824003,0.002898971,0.002898971,NA,12073,0,0.002898971,49,7,2,2022
