trap_ID_decimal,batch_date,trap_status,total_sample_minutes,total_catch,catch_imputed,discharge,discharge_scaled,efficiency_imputed,efficiency,unimputed_efficiency,passage,p.c.imputed,p.e.imputed,jday,week,month,year
Lower Feather River RST RL,2/19/2022,fishing,1410.066667,23,FALSE,3837,0.571802652,0.002898971,0.002898971,NA,7934,0,0.002898971,50,7,2,2022
Lower Feather River RST RL,2/20/2022,fishing,1470.066667,16,FALSE,3837,0.571802652,0.002898971,0.002898971,NA,5519,0,0.002898971,51,7,2,2022
Lower Feather River RST RL,2/21/2022,fishing,1424.783333,16,FALSE,3850,0.582824003,0.002898971,0.002898971,NA,5519,0,0.002898971,52,8,2,2022
Lower Feather River RST RL,2/22/2022,fishing,1425.533333,10,FALSE,3979,0.69218972,0.002898971,0.002898971,NA,3450,0,0.002898971,53,8,2,2022
Lower Feather River RST RL,2/23/2022,fishing,1424.916667,26,FALSE,4217,0.893965229,0.002898971,0.002898971,NA,8969,0,0.002898971,54,8,2,2022
Lower Feather River RST RL,2/24/2022,fishing,1484.75,21,FALSE,4665,1.273777953,0.002898971,0.002898971,NA,7244,0,0.002898971,55,8,2,2022
Lower Feather River RST RL,2/25/2022,fishing,1395.533333,27,FALSE,4790,1.379752485,0.002898971,0.016697588,0.016697588,1617,0,0.002898971,56,8,2,2022
Lower Feather River RST RL,2/26/2022,fishing,1455.15,17,FALSE,5243,1.763804189,0.002898971,0.002898971,NA,5864,0,0.002898971,57,8,2,2022
Lower Feather River RST RL,2/27/2022,fishing,1439.616667,7,FALSE,5431,1.923189885,0.002898971,0.002898971,NA,2415,0,0.002898971,58,8,2,2022
Lower Feather River RST RL,2/28/2022,fishing,1424.733333,10,FALSE,5446,1.935906829,0.002898971,0.002898971,NA,3450,0,0.002898971,59,9,2,2022
Lower Feather River RST RL,3/1/2022,fishing,1484.816667,22,FALSE,5446,1.935906829,0.002898971,0.002898971,NA,7589,0,0.002898971,60,9,3,2022
Lower Feather River RST RL,3/2/2022,fishing,1425.6,23,FALSE,5475,1.960492921,0.002898971,0.002898971,NA,7934,0,0.002898971,61,9,3,2022
Lower Feather River RST RL,3/3/2022,fishing,1469.783333,17,FALSE,5446,1.935906829,0.002898971,0.002898971,NA,5864,0,0.002898971,62,9,3,2022
Lower Feather River RST RL,3/4/2022,fishing,1365.366667,8,FALSE,5446,1.935906829,0.002898971,0.002898971,NA,2760,0,0.002898971,63,9,3,2022
Lower Feather River RST RL,3/5/2022,fishing,1454.55,9,FALSE,5651,2.109705062,0.002898971,0.002898971,NA,3105,0,0.002898971,64,9,3,2022
Lower Feather River RST RL,3/6/2022,fishing,1439.566667,7,FALSE,5711,2.160572837,0.002898971,0.002898971,NA,2415,0,0.002898971,65,9,3,2022
Lower Feather River RST RL,3/7/2022,fishing,1455.683333,2,FALSE,5695,2.147008097,0.002898971,0.002898971,NA,690,0,0.002898971,66,10,3,2022
Lower Feather River RST RL,3/8/2022,fishing,1440.266667,4,FALSE,5725,2.172441985,0.002898971,0.002898971,NA,1380,0,0.002898971,67,10,3,2022
Lower Feather River RST RL,3/9/2022,fishing,1454.35,17,FALSE,5740,2.185158929,0.002898971,0.002898971,NA,5864,0,0.002898971,68,10,3,2022
Lower Feather River RST RL,3/10/2022,fishing,1424.816667,5,FALSE,5905,2.325045311,0.002898971,0.002898971,NA,1725,0,0.002898971,69,10,3,2022
Lower Feather River RST RL,3/11/2022,fishing,1425.816667,21,FALSE,5980,2.38863003,0.002898971,0.002898971,NA,7244,0,0.002898971,70,10,3,2022
Lower Feather River RST RL,3/12/2022,fishing,1454.166667,19,FALSE,5995,2.401346974,0.002898971,0.002898971,NA,6554,0,0.002898971,71,10,3,2022
Lower Feather River RST RL,3/13/2022,fishing,1409.883333,7,FALSE,5143,1.679024563,0.002898971,0.002898971,NA,2415,0,0.002898971,72,10,3,2022
Lower Feather River RST RL,3/14/2022,fishing,1410.616667,6,FALSE,4164,0.849032028,0.002898971,0.002898971,NA,2070,0,0.002898971,73,11,3,2022
Lower Feather River RST RL,3/15/2022,fishing,1469.516667,14,FALSE,3407,0.207250261,0.002898971,0.002898971,NA,4829,0,0.002898971,74,11,3,2022
Lower Feather River RST RL,3/16/2022,fishing,1410.666667,24,FALSE,3187,0.020735085,0.002898971,0.002898971,NA,8279,0,0.002898971,75,11,3,2022
